middle name,amount,weight
Maria,179350,0.05712702202105752
Anneli,113681,0.036209963704353726
Helena,109662,0.03492982151588074
Johanna,92686,0.029522582453547466
Kaarina,92539,0.02947575963650205
Hannele,82143,0.0261643990514398
Marjatta,80002,0.02548244223991438
Kristiina,71171,0.022669569468975106
Emilia,57279,0.018244653996900777
Tuulikki,56363,0.017952887327420494
Annikki,51729,0.0164768537615126
Sofia,50543,0.01609908599949992
Elina,47838,0.015237482461351268
Maarit,47105,0.015004005421254055
Susanna,47092,0.014999864627909903
Liisa,44414,0.01414686119901449
Katariina,44182,0.014072963963949615
Inkeri,38664,0.012315356450639355
Sinikka,33298,0.010606164367199184
Kyllikki,32492,0.010349435179861729
Orvokki,30864,0.009830880444147864
Tellervo,29459,0.009383356240414462
Karoliina,27874,0.008878497974992794
Irmeli,26871,0.008559019842363182
Pauliina,26850,0.008552330868499552
Elisabet,25487,0.00811818461249341
Eveliina,23412,0.007457250290253687
Aurora,19859,0.0063255396170403206
Elisabeth,19826,0.006315028372397472
Irene,19751,0.006291139180027361
Leena,19466,0.006200360249020941
Katriina,19064,0.006072314177917149
Ilona,18873,0.006011476368014601
Marika,18800,0.00598822422077436
Tuulia,18776,0.005980579679215925
Marjaana,18298,0.0058283258931770875
Matilda,17868,0.0056913611902551205
Marketta,17733,0.005648360643988922
Amanda,17646,0.005620649180839593
Marita,17587,0.00560185634950844
Marja,17369,0.005532418430352652
Anna,17109,0.005449602563469603
Marianne,16917,0.00538844623100212
Annika,16355,0.005209436549508758
Olivia,15999,0.005096042516391968
Linnea,15649,0.004984559618664786
Anita,15335,0.004884543533275256
Mirjami,15257,0.004859698773210341
Aino,14963,0.004766053139119508
Sisko,14928,0.00475490484934679
Maaria,14905,0.004747578830353289
Elisa,13666,0.004352929372399064
Aleksandra,13434,0.0042790321373341895
Maija,13145,0.00418697911606803
Riitta,13110,0.004175830826295312
Birgitta,12235,0.0038971235819773562
Julia,12104,0.0038553971259708965
Alexandra,11808,0.003761114446750194
Anniina,11304,0.0036005790740230516
