"Alue","Ikä","Yhteensä 2020 Väestö 31.12.","Miehet 2020 Väestö 31.12.","Naiset 2020 Väestö 31.12."
"Akaa","0",121,59,62
"Akaa","1",132,71,61
"Akaa","2",99,50,49
"Akaa","3",139,66,73
"Akaa","4",152,78,74
"Akaa","5",173,87,86
"Akaa","6",176,90,86
"Akaa","7",196,108,88
"Akaa","8",215,112,103
"Akaa","9",213,116,97
"Akaa","10",218,110,108
"Akaa","11",211,111,100
"Akaa","12",209,105,104
"Akaa","13",240,124,116
"Akaa","14",216,106,110
"Akaa","15",242,106,136
"Akaa","16",226,114,112
"Akaa","17",187,98,89
"Akaa","18",191,105,86
"Akaa","19",151,97,54
"Akaa","20",111,67,44
"Akaa","21",110,61,49
"Akaa","22",89,53,36
"Akaa","23",95,47,48
"Akaa","24",109,62,47
"Akaa","25",101,55,46
"Akaa","26",133,70,63
"Akaa","27",130,84,46
"Akaa","28",137,75,62
"Akaa","29",127,52,75
"Akaa","30",159,86,73
"Akaa","31",143,73,70
"Akaa","32",171,101,70
"Akaa","33",163,90,73
"Akaa","34",192,96,96
"Akaa","35",188,84,104
"Akaa","36",191,91,100
"Akaa","37",229,111,118
"Akaa","38",220,112,108
"Akaa","39",218,120,98
"Akaa","40",248,132,116
"Akaa","41",219,109,110
"Akaa","42",245,122,123
"Akaa","43",242,126,116
"Akaa","44",243,121,122
"Akaa","45",236,124,112
"Akaa","46",250,119,131
"Akaa","47",204,103,101
"Akaa","48",209,115,94
"Akaa","49",191,105,86
"Akaa","50",237,130,107
"Akaa","51",234,122,112
"Akaa","52",258,136,122
"Akaa","53",233,129,104
"Akaa","54",227,110,117
"Akaa","55",223,121,102
"Akaa","56",237,116,121
"Akaa","57",217,109,108
"Akaa","58",212,120,92
"Akaa","59",205,110,95
"Akaa","60",211,106,105
"Akaa","61",219,115,104
"Akaa","62",215,112,103
"Akaa","63",239,119,120
"Akaa","64",254,120,134
"Akaa","65",236,123,113
"Akaa","66",237,124,113
"Akaa","67",216,106,110
"Akaa","68",238,125,113
"Akaa","69",249,122,127
"Akaa","70",230,102,128
"Akaa","71",246,127,119
"Akaa","72",271,119,152
"Akaa","73",224,119,105
"Akaa","74",184,85,99
"Akaa","75",179,88,91
